[2022-08-30 18:18:07.6069] | Info | 小地图数据加载成功... 
[2022-08-30 18:18:07.6069] | Info | 正在加载地图数据... 
[2022-08-30 18:18:10.1586] | Info | 地图数据加载成功(322)... 
[2022-08-30 18:18:10.1586] | Info | 正在加载怪物数据库... 
[2022-08-30 18:18:10.1896] | Info | 加载怪物数据库成功(705)... 
[2022-08-30 18:18:10.1896] | Info | 正在加载技能数据库... 
[2022-08-30 18:18:10.1937] | Info | 加载技能数据库成功(206)... 
[2022-08-30 18:18:10.1937] | Info | 正在加载怪物刷新配置信息... 
[2022-08-30 18:18:10.2104] | Info | 加载怪物刷新配置信息成功(2828)... 
[2022-08-30 18:18:10.2104] | Info | 正加载怪物说话配置信息... 
[2022-08-30 18:18:10.2104] | Info | 加载怪物说话配置信息成功(0)... 
[2022-08-30 18:18:10.2126] | Info | 正在加载捆装物品信息... 
[2022-08-30 18:18:10.2126] | Info | 加载捆装物品信息成功... 
[2022-08-30 18:18:10.2126] | Info | 加载物品寄售系统... 
[2022-08-30 18:18:10.2157] | Info | 正在加载任务地图信息... 
[2022-08-30 18:18:10.2176] | Info | 加载任务地图信息成功... 
[2022-08-30 18:18:10.2176] | Info | 正在加载任务说明信息... 
[2022-08-30 18:18:10.2185] | Info | 加载任务说明信息成功... 
[2022-08-30 18:18:10.2185] | Info | 正在加载公告提示信息... 
[2022-08-30 18:18:10.2185] | Info | 加载公告提示信息成功... 
[2022-08-30 18:18:10.2196] | Info | 管理员列表加载成功... 
[2022-08-30 18:18:10.2196] | Info | 行会列表加载成功... 
[2022-08-30 18:18:10.2208] | Info | 城堡列表加载成功... 
[2022-08-30 18:18:10.2264] | Info | 城堡城初始完成... 
[2022-08-30 18:18:10.2289] | Info | 当前服务器运行主节点模式... 
[2022-08-30 18:18:10.2303] | Info | 登录服务器连接初始化完成... 
[2022-08-30 18:18:10.2322] | Info | 地图环境加载成功... 
[2022-08-30 18:18:10.2555] | Info | 矿物数据初始成功... 
[2022-08-30 18:18:10.2569] | Info | 交易NPC列表加载成功... 
[2022-08-30 18:18:10.2598] | Info | 守卫列表加载成功... 
[2022-08-30 18:18:10.2605] | Info | 管理NPC列表加载成功... 
[2022-08-30 18:18:10.2605] | Info | 炼制物品信息加载成功... 
[2022-08-30 18:18:10.2616] | Info | 回城点配置加载成功... 
[2022-08-30 18:18:10.2616] | Info | 正在初始安全区光圈... 
[2022-08-30 18:18:10.2616] | Info | 安全区光圈初始化成功... 
[2022-08-30 18:18:10.2616] | Info | 人物数据引擎启动成功... 
[2022-08-30 18:18:10.3250] | Info | 游戏处理引擎初始化成功... 
[2022-08-30 18:18:10.3250] | Info | 引擎版本: 1.00 Build 20161001 
[2022-08-30 18:18:10.3250] | Info | 更新日期: 2016/10/01 
[2022-08-30 18:28:51.0728] | Info | 正在读取配置信息... 
[2022-08-30 18:28:51.2714] | Info | 读取配置信息完成... 
[2022-08-30 18:28:51.2752] | Info | 正在加载物品数据库... 
[2022-08-30 18:28:51.5351] | Info | 物品数据库加载成功(1000)... 
[2022-08-30 18:28:51.5351] | Info | 正在加载数据图文件... 
[2022-08-30 18:28:51.5360] | Info | 小地图数据加载成功... 
[2022-08-30 18:28:51.5360] | Info | 正在加载地图数据... 
